VASP_mp-1219584_Rb1N1O3_1H.vasp,-5.019380823
VASP_mp-28534_Ca2In2Br6_1H.vasp,-3.307659876
VASP_mp-1097015_K4Sn4I12_1H.vasp,-2.732076319
VASP_mp-1105549_Ba4Hf4S12_1H.vasp,-6.465592155
VASP_mp-23004_Cs2Mg2Cl6_1H.vasp,-3.306911506
VASP_mp-27369_Rb2Ge2Cl6_1H.vasp,-3.301638526
VASP_mp-1078537_Pr2Lu2S6_1H.vasp,-6.005199185
VASP_mp-1106374_La4Lu4S12_1H.vasp,-6.258141414
VASP_mp-1183115_Ac1Al1O3_1H.vasp,-6.46406355
VASP_mp-19322_Ba1Mo1O3_1H.vasp,-6.622296992
VASP_mp-1188840_Sm4Sc4S12_1H.vasp,-6.430548441
VASP_mp-1105660_U4Ru4S12_1H.vasp,-7.308045582
VASP_mp-1199053_La8Tm8S24_1H.vasp,-6.383982766
VASP_mp-1189962_Pr4Sc4S12_1H.vasp,-6.451334055
VASP_mp-1198796_Rb16Sn16F48_1H.vasp,-4.530525346
VASP_mp-1540546_Rb2Pb2F6_1H.vasp,-4.175132292
VASP_mp-1113914_Rb2Tl2F6_1H.vasp,-3.664435185
VASP_mp-1105933_La4Cr4Se12_1H.vasp,-6.068528376
VASP_mp-1080060_La2Al2O6_1H.vasp,-7.267893256
VASP_mp-1078203_Cs2Tl2F6_1H.vasp,-3.671723221
VASP_mp-1205366_Lu4Rh4O12_1H.vasp,-7.275139321
VASP_mp-1105715_Ti4Ge4S12_1H.vasp,-5.674387005
VASP_mp-1189520_Na4P4S12_1H.vasp,-4.307085923
VASP_mp-22981_Tl1I1O3_1H.vasp,-3.861853588
VASP_mp-1188262_Tb4Sc4S12_1H.vasp,-6.410142558
VASP_mp-1079893_Ba2Ti2Se6_1H.vasp,-5.17714741
VASP_mp-1542758_Sr2Mo2O6_1H.vasp,-7.221425915
VASP_mp-1080801_Nd2Lu2S6_1H.vasp,-6.000464903
VASP_mp-1542038_Cs2Sn2Se6_1H.vasp,-3.631551294
VASP_mp-23484_Cs2Au2Cl6_1H.vasp,-2.800207945
VASP_mp-27193_Rb1I1O3_1H.vasp,-3.801629737
VASP_mp-1019544_Ba2Zr2O6_1H.vasp,-7.612832622
VASP_mp-1194303_Gd6B6O18_1H.vasp,-8.119362691
VASP_mp-1114001_Rb2In2Cl6_1H.vasp,-3.022341775
VASP_mp-18814_Mn2C2O6_1H.vasp,-7.500108959
VASP_mp-19147_Ni2C2O6_1H.vasp,-6.582072075
VASP_mp-27186_Mg2V2O6_1H.vasp,-7.036031627
VASP_mp-1208832_Sm4Lu4Se12_1H.vasp,-5.601150639
VASP_mp-1188414_Sr4Tc4O12_1H.vasp,-7.230601412
VASP_mp-1205548_K2Sr2I6_1H.vasp,-2.915752786
VASP_mp-1078217_Na2Fe2F6_1H.vasp,-4.946703706
VASP_mp-13326_Pr2Lu2Se6_1H.vasp,-5.463282898
VASP_mp-27409_Rb2Ni2Br6_1H.vasp,-2.989693081
VASP_mp-1183168_Ac1V1O3_1H.vasp,-7.12008113
VASP_mp-1206844_Rb1Pa1O3_1H.vasp,-6.856091115
VASP_mp-1105218_Na4Os4O12_1H.vasp,-6.553025916
VASP_mp-1205419_Sr4Sn4S12_1H.vasp,-4.565775614
VASP_mp-1079111_Eu2Ti2O6_1H.vasp,-8.916383387
VASP_mp-1205353_K2Mn2F6_1H.vasp,-5.202201476
VASP_mp-13641_Ti2Cd2O6_1H.vasp,-6.399279243
VASP_mp-23048_Cs2Mn2Br6_1H.vasp,-3.917312603
VASP_mp-1105788_Sm4Cr4O12_1H.vasp,-8.200279263
VASP_mp-29750_Cs2Mg2Br6_1H.vasp,-2.935272645
VASP_mp-1112960_Cs2In2F6_1H.vasp,-3.954216721
VASP_mp-20641_Mn2Co2O6_1H.vasp,-6.895960863
VASP_mp-1188225_Sm4V4O12_1H.vasp,-8.267700128
VASP_mp-1200675_K8I8O24_1H.vasp,-4.352201375
VASP_mp-18969_Fe2C2O6_1H.vasp,-7.17097146
VASP_mp-1078668_Ni2Pb2O6_1H.vasp,-5.460712515
VASP_mp-1178424_Co2Ni2O6_1H.vasp,-5.951920845
VASP_mp-19138_Ba2Ni2O6_1H.vasp,-5.89796716
VASP_mp-1078659_Ca2Rh2O6_1H.vasp,-6.297085055
VASP_mp-1106094_K4C4O12_1H.vasp,-6.189466968
VASP_mp-23054_Na2Bi2O6_1H.vasp,-4.799870944
VASP_mp-22958_K1Br1O3_1H.vasp,-3.586448203
VASP_mp-27178_Hg2P2S6_1H.vasp,-3.674885465
VASP_mp-28610_Cs2Ag2Cl6_1H.vasp,-2.975799725
VASP_mp-1228798_Cs2Ta2Te6_1H.vasp,-4.838394781
VASP_mp-1183145_Ac1Pd1O3_1H.vasp,-5.694059045
VASP_mp-18946_V2B2O6_1H.vasp,-7.859310778
VASP_mp-1105187_Cu4P4S12_1H.vasp,-4.365013651
VASP_mp-1200097_La8Ho8S24_1H.vasp,-6.39558744
VASP_mp-23486_Rb2Ni2Cl6_1H.vasp,-3.30624692
VASP_mp-30056_Cs1Ca1Br3_1H.vasp,-3.114051088
VASP_mp-11778_Th2Mn2Se6_1H.vasp,-6.213941954
VASP_mp-1208583_Ta4Cl12O4_1H.vasp,-6.001631156
VASP_mp-1206489_Cs2Sc2I6_1H.vasp,-3.520639304
VASP_mp-1186395_Pa1Hg1O3_1H.vasp,-6.435399292
VASP_mp-1194043_Er6B6O18_1H.vasp,-8.124672556
VASP_mp-28453_Cs2Au2I6_1H.vasp,-2.45476816
VASP_mp-1184176_Dy4Sc4S12_1H.vasp,-6.399592761
VASP_mp-27300_Rb2Au2Br6_1H.vasp,-2.542827078
VASP_mp-1120755_Na2C2O6_1H.vasp,-6.339691147
VASP_mp-1079559_Cd2P2Se6_1H.vasp,-3.415544305
VASP_mp-19331_Mn2Ni2O6_1H.vasp,-6.668104854
VASP_mp-1078259_Ga2B2O6_1H.vasp,-6.401125499
VASP_mp-1205862_Rb2Sr2I6_1H.vasp,-2.909705772
VASP_mp-29959_Tl2B2Se6_1H.vasp,-3.978813779
VASP_mp-1105094_Tl4Hg4Cl12_1H.vasp,-2.307594738
VASP_mp-18732_Ti2Ni2O6_1H.vasp,-7.11231587
VASP_mp-1185263_Li1Pa1O3_1H.vasp,-6.98335091
VASP_mp-20569_Mn2Sn2O6_1H.vasp,-6.557108513
VASP_mp-11007_Ca4P4Se12_1H.vasp,-4.349467072
VASP_mp-1105822_Pr4Cr4O12_1H.vasp,-8.171040434
VASP_mp-10328_La4Cr4S12_1H.vasp,-6.573631634
VASP_mp-1178212_Fe4Sn4O12_1H.vasp,-6.457256367
VASP_mp-1288145_La2Co2O6_1H.vasp,-7.171318895
VASP_mp-20459_Ti1Pb1O3_1H.vasp,-6.456481655
VASP_mp-1195469_Ba8Ge8S24_1H.vasp,-4.831626556
VASP_mp-1120721_Rb2Ge2Br6_1H.vasp,-2.982414638
VASP_mp-1216763_Ti2V2O6_1H.vasp,-8.312643819
VASP_mp-1205357_K4Ag4F12_1H.vasp,-3.736999095
VASP_mp-19339_La2Ni2O6_1H.vasp,-6.849448235
VASP_mp-1192651_Ba6Fe6O18_1H.vasp,-6.858039165
VASP_mp-1183139_Ac1Ni1O3_1H.vasp,-5.965719138
VASP_mp-1205533_Tl2Sn2I6_1H.vasp,-2.642710471
VASP_mp-19097_Fe2B2O6_1H.vasp,-7.210355627
VASP_mp-19299_Cr2B2O6_1H.vasp,-7.693217328
VASP_mp-11775_Rb1U1O3_1H.vasp,-6.921106078
VASP_mp-21434_Co2C2O6_1H.vasp,-6.85645703
VASP_mp-11008_Ba4P4Se12_1H.vasp,-4.419713749
VASP_mp-11623_La4In4O12_1H.vasp,-6.733135715
VASP_mp-1105130_Pr4In4O12_1H.vasp,-6.64024995
VASP_mp-1183053_Ac1Ga1O3_1H.vasp,-5.844737348
VASP_mp-1105614_Nd4Sc4S12_1H.vasp,-6.447162527
VASP_mp-28872_Rb1Br1O3_1H.vasp,-3.558107998
VASP_mp-1190131_La4Sc4S12_1H.vasp,-6.552182355
VASP_mp-1068340_Cs1Ge1Br3_1H.vasp,-2.831672277
VASP_mp-1195796_Te8H8O24_1H.vasp,-5.197245656
VASP_mp-1208643_Sr4Hf4S12_1H.vasp,-6.385492376
VASP_mp-13327_Nd2Lu2Se6_1H.vasp,-5.437637686
VASP_mp-19082_Ti2Mn2O6_1H.vasp,-7.994879806
VASP_mp-22230_Ba2Pb2O6_1H.vasp,-5.290236624
VASP_mp-1055491_Rb1Ag1F3_1H.vasp,-3.167777555
VASP_mp-1207705_Tm4Rh4O12_1H.vasp,-7.281859209
VASP_mp-1079568_Na2Ir2O6_1H.vasp,-5.863397166
VASP_mp-29400_Cs2Fe2Cl6_1H.vasp,-3.915189869
VASP_mp-1078358_Li2Os2O6_1H.vasp,-6.644779902
VASP_mp-1201800_Pr8Tm8S24_1H.vasp,-6.285399693
VASP_mp-1120756_Na4V4F12_1H.vasp,-5.569559323
VASP_mp-11006_Ba4P4S12_1H.vasp,-4.923545468
VASP_mp-1199144_Pr8Er8S24_1H.vasp,-6.291315175
VASP_mp-1200447_La8Y8S24_1H.vasp,-6.779810809
VASP_mp-1189614_Ba4Th4O12_1H.vasp,-7.849374331
VASP_mp-1207629_Y4Rh4O12_1H.vasp,-7.629522238
VASP_mp-1079050_La2As2O6_1H.vasp,-6.80633952
VASP_mp-1188853_Ca4Tc4O12_1H.vasp,-7.270100503
VASP_mp-1078634_La2Fe2O6_1H.vasp,-7.483697908
VASP_mp-1202364_Mn8Se8O24_1H.vasp,-6.440167746
VASP_mp-1178563_Ag2As2O6_1H.vasp,-4.912517125
VASP_mp-1185015_K1Np1O3_1H.vasp,-7.075752252
